lifetime_value,ltv_percentile,guest_id,generation,booking_channel,loyalty_tier,total_visits,party_composition,num_children,dietary_flag,room_revenue,amount
4102191.05999994,0,G0550,Millennial,Direct,Platinum,24,Family,1,None,4038521.47999994,63669.58
3559548.22000001,0.001669449,G0223,Gen X,Direct,Platinum,21,Family,3,Vegetarian,3496494.59000001,63053.63
3330263.87000001,0.003338898,G0176,Boomer,OTA,Platinum,22,Family,1,Vegan,3277585.39000001,52678.480000000
3145885.89999997,0.005008347,G0132,Boomer,Direct,Platinum,12,Family,3,Vegetarian,3101109.21999997,44776.680000000
2888379.25000005,0.006677796,G0149,Gen X,Corporate,Platinum,25,Family,2,None,2827106.22000005,61273.030000000
2797880.71999996,0.008347245,G0073,Gen X,Direct,Platinum,18,Family,2,None,2744469.09999996,53411.62
2724961.46999998,0.010016694,G0178,Millennial,Corporate,Platinum,20,Family,3,None,2667671.82999998,57289.640000000
2629663.80999993,0.011686144,G0579,Millennial,Corporate,Platinum,16,Family,2,None,2581605.42999993,48058.38
2339889.90999998,0.013355593,G0203,Millennial,Direct,Platinum,17,Family,3,Halal,2291324.67999998,48565.230000000
2277338.99999999,0.015025042,G0250,Gen X,Corporate,Platinum,21,Family,1,None,2228669.11999999,48669.88
2226080.10999999,0.016694491,G0458,Boomer,Corporate,Platinum,15,Family,2,Vegetarian,2182678.33999999,43401.77
2197834.94999999,0.018363940,G0056,Millennial,Direct,Platinum,17,Family,2,None,2147346.70999999,50488.24
2183491.15999998,0.020033389,G0187,Millennial,OTA,Platinum,16,Family,3,Gluten-Free,2135831.73999998,47659.42
2130380.18000001,0.021702838,G0175,Boomer,Corporate,Platinum,22,Family,1,Gluten-Free,2082914.92000001,47465.260000000
1878002.41,0.023372287,G0134,Millennial,Direct,Platinum,15,Family,1,Nut Allergy,1842376.11,35626.3
1861489.66,0.025041736,G0446,Gen X,Direct,Platinum,13,Family,1,None,1828236.02,33253.64
1819797.24000001,0.026711185,G0113,Millennial,Corporate,Platinum,17,Family,3,None,1771097.00000001,48700.24
1784017.77000001,0.028380634,G0148,Boomer,OTA,Platinum,13,Family,3,Gluten-Free,1746287.74000001,37730.03
1725973.19,0.030050083,G0215,Gen X,Corporate,Platinum,13,Family,2,Gluten-Free,1692174.75,33798.44
1721009.73999999,0.031719533,G0197,Gen X,Corporate,Platinum,17,Family,2,Vegan,1681955.03999999,39054.7
1597309.39,0.033388982,G0260,Boomer,Direct,Platinum,14,Family,1,None,1565089.35,32220.04
1464893.15999999,0.035058431,G0520,Millennial,Corporate,Gold,9,Family,3,None,1439690.24999999,25202.91
1328463.56000001,0.036727880,G0389,Gen X,Direct,Platinum,11,Family,2,None,1299845.73000001,28617.83
1304211.39,0.038397329,G0305,Boomer,OTA,Platinum,9,Family,2,Gluten-Free,1278125.97,26085.42
1220773.37999999,0.040066778,G0064,Millennial,Direct,Platinum,8,Family,1,Gluten-Free,1201868.14999999,18905.23
1192175.34,0.041736227,G0165,Gen X,Corporate,Platinum,10,Family,1,Dairy-Free,1170146.95,22028.39
1173962.35,0.043405676,G0470,Millennial,Corporate,Gold,10,Family,3,Vegan,1148430.19,25532.16
1158549.58999999,0.045075125,G0432,Gen X,Travel Agent,Gold,10,Family,3,None,1132520.85999999,26028.73
1144247.65,0.046744574,G0269,Boomer,Direct,Gold,5,Family,1,None,1132138.98,12108.67
1130181.13000001,0.048414023,G0462,Millennial,Direct,Gold,9,Family,2,None,1107813.21000001,22367.92
1122862.8,0.050083472,G0442,Millennial,Direct,Gold,8,Family,1,None,1105823.56,17039.24
1113737.42,0.051752922,G0246,Gen X,Direct,Gold,5,Family,3,Halal,1096877.36,16860.06
1094363.76,0.053422371,G0070,Millennial,Corporate,Platinum,13,Family,2,None,1065143.3,29220.46
1052282.11,0.055091820,G0531,Boomer,Direct,Platinum,23,Couple,0,Vegan,1034510.75,17771.36
1033997.99,0.056761269,G0533,Millennial,Direct,Platinum,8,Family,2,None,1014116.28,19881.71
1029845.87,0.058430718,G0081,Millennial,OTA,Gold,5,Family,2,Gluten-Free,1016289.64,13556.23
1026448.65000001,0.060100167,G0364,Millennial,Corporate,Platinum,10,Family,1,None,1002322.84000001,24125.81
1024387.93,0.061769616,G0594,Millennial,Direct,Platinum,9,Family,1,None,1005040.36,19347.57
995174.100000001,0.063439065,G0088,Boomer,Corporate,Gold,9,Family,1,Vegetarian,975178.870000002,19995.23
975651.249999998,0.065108514,G0514,Millennial,Travel Agent,Gold,8,Family,3,Gluten-Free,956665.669999998,18985.58
946942.139999996,0.066777963,G0582,Millennial,OTA,Silver,5,Family,3,None,936351.359999996,10590.78
940037.379999997,0.068447412,G0375,Gen X,OTA,Platinum,21,Couple,0,Halal,924928.879999997,15108.5
938542.730000003,0.070116861,G0544,Gen X,Direct,Platinum,25,Group,0,None,921482.660000003,17060.07
935744.360000002,0.071786311,G0251,Millennial,Direct,Gold,8,Family,1,Gluten-Free,914629.440000003,21114.92
934431.259999999,0.073455760,G0173,Boomer,Direct,Platinum,20,Couple,0,Nut Allergy,918825.469999999,15605.79
934092.610000005,0.075125209,G0592,Boomer,Direct,Platinum,8,Family,1,None,915054.910000005,19037.7
