reservation_id,guest_id,stay_number,checkin_date,checkin_day,length_of_stay,lead_time_days,purpose,room_category,rate_type,nightly_rate,room_revenue,satisfaction_score,nps,rebooked_direct
R00001,G0001,1,2023-03-09,Thursday,6,64,Leisure,Deluxe,BAR,213.65,1281.9,7.2,Passive,False
R00002,G0002,1,2024-12-09,Wednesday,5,21,Leisure,Deluxe,OTA Rate,198.51,992.55,6.2,Detractor,False
R00003,G0002,2,2023-01-04,Friday,5,28,Bleisure,Suite,OTA Rate,379.46,1897.3,7.1,Passive,False
R00004,G0003,1,2023-11-19,Wednesday,6,5,Leisure,Suite,OTA Rate,401.63,2409.78,7.9,Passive,False
R00005,G0003,2,2024-03-14,Wednesday,4,6,Leisure,Junior Suite,OTA Rate,287.62,1150.48,6.8,Detractor,False
R00006,G0003,3,2024-08-31,Friday,6,28,Leisure,Deluxe,OTA Rate,185.91,1115.46,6.8,Detractor,False
R00007,G0004,1,2023-01-18,Sunday,7,78,Leisure,Deluxe,BAR,191.85,1342.95,8.5,Passive,True
R00008,G0004,2,2023-12-10,Saturday,6,76,Leisure,Deluxe,BAR,213.76,1282.56,8.1,Passive,False
R00009,G0004,3,2023-11-05,Sunday,7,75,Leisure,Deluxe,Package,210.79,1475.53,7.1,Passive,False
R00010,G0005,1,2023-01-22,Friday,4,12,Bleisure,Junior Suite,OTA Rate,265.54,1062.16,6.7,Detractor,False
R00011,G0005,2,2024-12-13,Friday,7,7,Leisure,Suite,OTA Rate,386.68,2706.76,6.2,Detractor,False
R00012,G0006,1,2023-04-21,Sunday,7,83,Leisure,Presidential Suite,Loyalty Rate,661.14,4627.98,8.0,Passive,False
R00013,G0006,2,2024-06-23,Friday,2,56,Business,Junior Suite,Loyalty Rate,264.88,529.76,8.9,Passive,True
R00014,G0006,3,2023-02-12,Saturday,6,29,Leisure,Junior Suite,Loyalty Rate,264.16,1584.96,7.2,Passive,False
R00015,G0006,4,2023-12-22,Sunday,5,32,Bleisure,Suite,Loyalty Rate,377.72,1888.6,7.3,Passive,False
R00016,G0006,5,2024-09-30,Wednesday,5,50,Leisure,Deluxe,Loyalty Rate,178.18,890.9,8.3,Passive,False
